date,open,high,low,close,volume
7/21/2011,34.8738,35.6659,34.7965,35.6659,594200
7/22/2011,35.6157,36.091,35.4344,36.0175,322800
7/25/2011,36.0137,36.0639,35.8668,35.9016,289200
7/26/2011,36.5044,36.5237,36.1219,36.431,455200
7/27/2011,36.7788,36.8445,36.1798,36.1798,505200
7/28/2011,36.0407,36.3305,35.9557,36.1914,411000
7/29/2011,35.7355,36.2764,35.3259,35.3259,536400
8/1/2011,36.3074,36.3074,35.4263,36.0137,1557400
8/2/2011,35.778,36.1141,35.7741,35.8823,361200
8/3/2011,35.9982,36.0369,35.465,36.0369,500600
8/4/2011,35.4959,35.5925,34.2826,34.3212,766800
8/5/2011,34.2323,34.8119,33.502,34.754,1255800
8/8/2011,33.3281,33.6566,32.0723,32.1921,1832800
8/9/2011,32.8683,34.2555,32.3891,34.0159,994000
8/10/2011,32.9262,33.216,32.3003,32.451,927000
8/11/2011,32.08,33.7532,32.053,33.5445,737200
8/12/2011,34.0932,34.6226,33.8459,34.468,610000
8/15/2011,34.7153,35.0167,34.4874,35.0167,282000
8/16/2011,35.0786,35.7161,35.0206,35.7161,649600
8/17/2011,35.5751,35.7984,35.3518,35.6534,396400
8/18/2011,34.8739,34.9719,34.1767,34.7564,501600
8/19/2011,33.9495,34.9366,33.9495,34.2433,662200
8/22/2011,35.3714,35.3714,34.7172,34.9405,367000
8/23/2011,35.0894,35.8375,34.8896,35.8375,357800
8/24/2011,34.9013,35.4928,34.7917,35.2539,463400
8/25/2011,34.5566,34.7212,33.879,34.1532,712200
8/26/2011,33.8947,34.8661,33.64,34.6663,374000
8/29/2011,35.1442,35.4811,35.0027,35.4106,240200
8/30/2011,34.7486,35.109,34.5762,35.0659,557000
8/31/2011,34.6898,35.2421,34.6232,35.1011,919400
9/1/2011,35.3087,35.6064,35.1246,35.2813,558600
9/2/2011,35.0502,35.4223,35.0267,35.344,534400
9/6/2011,34.3099,34.8152,34.1688,34.6977,766000
9/7/2011,34.5997,35.0071,34.494,35.0071,434800
9/8/2011,34.7172,35.0189,34.541,34.6977,420600
9/9/2011,34.5371,34.5684,33.8555,33.973,636600
9/12/2011,33.3737,33.8398,33.1739,33.8046,551800
9/13/2011,33.7223,34.0239,33.5108,33.8555,434000
9/14/2011,34.2041,34.5488,33.7497,34.2864,476000
9/15/2011,34.447,34.5566,34.1258,34.4587,465000
9/16/2011,34.6311,34.9248,34.4509,34.8191,452000
9/19/2011,33.9456,34.4114,33.8516,34.2668,434400
9/20/2011,34.5214,35.1638,34.4195,34.823,312600
9/21/2011,34.6507,34.6702,33.687,33.687,473600
9/22/2011,32.508,32.7626,32.226,32.6686,827400
9/23/2011,32.4962,33.029,32.4845,32.9859,375000
9/26/2011,33.4481,33.4716,32.9115,33.3541,1590200
9/27/2011,34.2237,34.5527,34.0239,34.1179,575400
9/28/2011,34.6937,34.8622,33.7771,33.8046,491000
9/29/2011,34.0435,34.3295,33.358,33.7771,498600
9/30/2011,33.3854,33.7301,33.1896,33.1896,739000
10/3/2011,33.1465,33.7301,33.0799,33.3149,811400
10/4/2011,32.7352,33.6244,32.3592,33.5813,822200
10/5/2011,33.4638,33.8006,33.1661,33.7145,528600
10/6/2011,33.5029,34.3686,33.3541,34.3099,869800
10/7/2011,34.5527,34.6859,34.1884,34.4705,526600
10/10/2011,34.7525,35.0619,34.7094,34.8661,303000
10/11/2011,34.6546,34.7251,34.4078,34.443,539200
10/12/2011,33.9652,34.3138,33.8594,33.8594,591000
10/13/2011,34.3843,35.0384,34.2942,34.9601,529600
10/14/2011,34.9797,35.0384,34.6467,34.7878,509800
10/17/2011,34.8073,34.8504,34.4861,34.6076,394600
10/18/2011,34.208,34.8622,33.9142,34.5997,635400
10/19/2011,34.8308,34.8739,34.4196,34.443,451400
10/20/2011,34.4,34.917,34.2198,34.7212,610800
10/21/2011,35.5438,36.1666,35.5007,36.0412,680200
10/24/2011,35.6103,35.9735,35.579,35.7866,1342400
10/25/2011,35.9942,36.1627,35.5398,35.8219,4723600
10/26/2011,36.3389,36.668,35.9629,36.5896,1533800
10/27/2011,36.6131,36.8834,36.2841,36.2958,4404600
10/28/2011,37.1458,37.42,37.0695,37.2281,755800
10/31/2011,36.9774,37.1067,36.1117,36.1352,994800
11/1/2011,35.5438,36.1587,35.4223,35.7435,755800
11/2/2011,35.7631,35.8885,35.4223,35.6338,532200
11/3/2011,36.2292,36.5857,36.006,36.3938,635400
11/4/2011,36.6288,37.0166,36.3311,36.7659,543200
11/7/2011,36.5779,36.8912,36.429,36.809,357200
11/8/2011,37.3104,37.6041,37.0597,37.467,512400
11/9/2011,36.5583,36.5975,35.9315,36.194,635600
